"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"blade","BLADE","abs-blade","islbuspr_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Own systems - Production or service operations","blade-table-08-business-characteristics-survey-bcs","Own systems - Production or service operations","","2005-06;2007-08;2009-10;2011-12;2013-14;2015-16;2017-18;201…"
"blade","BLADE","abs-blade","islbusre_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Own systems - Reordering replacement supplies","blade-table-08-business-characteristics-survey-bcs","Own systems - Reordering replacement supplies","","2005-06;2007-08;2009-10;2011-12;2013-14;2015-16;2017-18;201…"
"blade","BLADE","abs-blade","islcusto_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Customers' business systems","blade-table-08-business-characteristics-survey-bcs","Customers' business systems","","2005-06;2007-08;2009-10;2011-12;2013-14;2015-16;2017-18;201…"
"blade","BLADE","abs-blade","islnotli_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Systems not linked to any of the above","blade-table-08-business-characteristics-survey-bcs","Systems not linked to any of the above","","2005-06;2007-08;2009-10;2011-12;2013-14;2015-16;2017-18;201…"
"blade","BLADE","abs-blade","islother_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Other","blade-table-08-business-characteristics-survey-bcs","Other","","2005-06;2007-08;2009-10;2011-12;2013-14;2015-16;2017-18;201…"
"blade","BLADE","abs-blade","islsuppl_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Suppliers' business systems","blade-table-08-business-characteristics-survey-bcs","Suppliers' business systems","0 = No 1 = Yes 88888888 = Missing due to sequencing 999999999 = Missing . = Not asked","2005-06;2007-08;2009-10;2011-12;2013-14;2015-16;2017-18;201…"
"blade","BLADE","abs-blade","itfcomp_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Competition from new market entrants","blade-table-08-business-characteristics-survey-bcs","Competition from new market entrants","","2015-16;2017-18"
"blade","BLADE","abs-blade","itfcybat_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Cyber attacks","blade-table-08-business-characteristics-survey-bcs","Cyber attacks","","2015-16;2017-18"
"blade","BLADE","abs-blade","itfdcst_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Decreased cost of digital technology or services","blade-table-08-business-characteristics-survey-bcs","Decreased cost of digital technology or services","","2015-16;2017-18"
"blade","BLADE","abs-blade","itfendgs_bcs","Date",5871,5785,98.5352,86,"2020-02-11 to 2020-05-06","","matched PLIDA variable metadata","Enhanced digital skills or capability","blade-table-08-business-characteristics-survey-bcs","Enhanced digital skills or capability","","2015-16;2017-18"
"blade","BLADE","abs-blade","itfglob_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Access to global markets","blade-table-08-business-characteristics-survey-bcs","Access to global markets","","2015-16;2017-18"
"blade","BLADE","abs-blade","itfibb_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Improved access to digital infrastructure (e.g. Broadband)…","blade-table-08-business-characteristics-survey-bcs","Improved access to digital infrastructure (e.g. Broadband)…","","2015-16;2017-18"
"blade","BLADE","abs-blade","itfincst_bcs","numeric",5871,5785,98.5352,86,"2788.92 / 28231.47 / 52321.63 / 93242.51 / 245977.37","","matched PLIDA variable metadata","Increased cost of digital technology or services","blade-table-08-business-characteristics-survey-bcs","Increased cost of digital technology or services","","2015-16;2017-18"
"blade","BLADE","abs-blade","itflbb_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Lack of access to digital infrastructure (e.g. Broadband)","blade-table-08-business-characteristics-survey-bcs","Lack of access to digital infrastructure (e.g. Broadband)","","2015-16;2017-18"
"blade","BLADE","abs-blade","itflsdis_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Loss/reduction of digital skills or capability","blade-table-08-business-characteristics-survey-bcs","Loss/reduction of digital skills or capability","0 = No 1 = Yes 88888888 = Missing due to sequencing 999999999 = Missing . = Not asked","2015-16;2017-18"
"blade","BLADE","abs-blade","itfnewm_bcs","integer",5871,5785,98.5352,5,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 7777777; 88888888; 999999999","matched PLIDA variable metadata","Creation of new markets from online communities","blade-table-08-business-characteristics-survey-bcs","Creation of new markets from online communities","","2015-16;2017-18"
"blade","BLADE","abs-blade","itfnext_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 1e+00 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-11-business-characteristics-survey-digital-activity-module-dam","","999999999 = Missing","2021-22"
"blade","BLADE","abs-blade","itfnna_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-11-business-characteristics-survey-digital-activity-module-dam","","","2021-22"
"blade","BLADE","abs-blade","itfnoemp_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 0e+00 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-11-business-characteristics-survey-digital-activity-module-dam","","1 = Yes","2021-22"
"blade","BLADE","abs-blade","itfnone_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","None","blade-table-08-business-characteristics-survey-bcs","None","","2015-16;2017-18"
"blade","BLADE","abs-blade","itfnoth_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-11-business-characteristics-survey-digital-activity-module-dam","","","2021-22"
"blade","BLADE","abs-blade","itfnspec_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Who performed ICT functions for the business (Tick all that apply)","blade-table-11-business-characteristics-survey-digital-activity-module-dam","Who performed ICT functions for the business (Tick all that apply)","0 = No","2021-22"
"blade","BLADE","abs-blade","itfoth_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Other","blade-table-08-business-characteristics-survey-bcs","Other","","2015-16;2017-18"
"blade","BLADE","abs-blade","itfspam_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Spam","blade-table-08-business-characteristics-survey-bcs","Spam","","2015-16;2017-18"
"blade","BLADE","abs-blade","itmgbuy_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Joint buying of digital technology or services","blade-table-08-business-characteristics-survey-bcs","Joint buying of digital technology or services","","2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itmgcons_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Contracted external IT/ICT consultants","blade-table-08-business-characteristics-survey-bcs","Contracted external IT/ICT consultants","","2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itmgcyb_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Upgraded cybersecurity software, standards or protocols","blade-table-08-business-characteristics-survey-bcs","Upgraded cybersecurity software, standards or protocols","","2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itmginv_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Approved the investment in new digital technologies or infrastructure for this business","blade-table-08-business-characteristics-survey-bcs","Approved the investment in new digital technologies or infrastructure for this business","","2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itmgnone_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","None","blade-table-08-business-characteristics-survey-bcs","None","","2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itmgoth_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Other","blade-table-08-business-characteristics-survey-bcs","Other","","2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itmgperf_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Measured the contribution of digital activities to overall business performance","blade-table-08-business-characteristics-survey-bcs","Measured the contribution of digital activities to overall business performance","","2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itmgrev_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Reviewed staff performance against digital skill targets","blade-table-08-business-characteristics-survey-bcs","Reviewed staff performance against digital skill targets","","2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itmgrew_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Rewarded individuals or teams involved in the successful introduction of digital technologies or processes","blade-table-08-business-characteristics-survey-bcs","Rewarded individuals or teams involved in the successful introduction of digital technologies or processes","","2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itmgstra_bcs","integer",5871,5785,98.5352,5,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 7777777; 88888888; 999999999","matched PLIDA variable metadata","Introduced or changed a digital business strategy","blade-table-08-business-characteristics-survey-bcs","Introduced or changed a digital business strategy","0 = No 1 = Yes 88888888 = Missing due to sequencing 999999999 = Missing . = Not asked","2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itmgupsk_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Introduced new training programs to upskill staff","blade-table-08-business-characteristics-survey-bcs","Introduced new training programs to upskill staff","","2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itrec_dam","integer",5871,5785,98.5352,4,"0.0 / 0.0 / 0.5 / 66666666.2 / 999999999.0","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Businesses that recruited or tried to recruit ICT specialists (No/Yes)","blade-table-11-business-characteristics-survey-digital-activity-module-dam","Businesses that recruited or tried to recruit ICT specialists (No/Yes)","0 = No","2021-22"
"blade","BLADE","abs-blade","itrnno_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 0e+00 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-11-business-characteristics-survey-digital-activity-module-dam","","999999999 = Missing","2021-22"
"blade","BLADE","abs-blade","itrnoemp_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 0e+00 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-11-business-characteristics-survey-digital-activity-module-dam","","1 = Yes","2021-22"
"blade","BLADE","abs-blade","itrnspec_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 0e+00 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Training to develop ICT skills of employees (Tick all that apply)","blade-table-11-business-characteristics-survey-digital-activity-module-dam","Training to develop ICT skills of employees (Tick all that apply)","0 = No","2021-22"
"blade","BLADE","abs-blade","itsacdea_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Dealt with inside the business","blade-table-08-business-characteristics-survey-bcs","Dealt with inside the business","0 = No","2005-06"
"blade","BLADE","abs-blade","itsaclaw_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Reported incident or breach to law enforcement agency","blade-table-08-business-characteristics-survey-bcs","Reported incident or breach to law enforcement agency","1 = Yes","2005-06"
"blade","BLADE","abs-blade","itsacleg_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Reported incident or breach to legal counsel to seek civil remedy","blade-table-08-business-characteristics-survey-bcs","Reported incident or breach to legal counsel to seek civil remedy","88888888 = Missing due to sequencing","2005-06"
"blade","BLADE","abs-blade","itsacnoa_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","No action taken","blade-table-08-business-characteristics-survey-bcs","No action taken","","2005-06"
"blade","BLADE","abs-blade","itsacoth_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Other - please specify","blade-table-08-business-characteristics-survey-bcs","Other - please specify","999999999 = Missing","2005-06"
"blade","BLADE","abs-blade","itsbrcor_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Corruption or loss of data","blade-table-08-business-characteristics-survey-bcs","Corruption or loss of data","","2005-06;2007-08;2009-10;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itsbrdow_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Downtime of service","blade-table-08-business-characteristics-survey-bcs","Downtime of service","","2005-06;2007-08;2009-10;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itsbrhar_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Corruption of hardware or software","blade-table-08-business-characteristics-survey-bcs","Corruption of hardware or software","0 = No 1 = Yes 88888888 = Missing due to sequencing 999999999 = Missing . = Not asked","2005-06;2007-08;2009-10;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itsbrinc_bcs","numeric",5871,5785,98.5352,86,"2788.92 / 28231.47 / 52321.63 / 93242.51 / 245977.37","","matched PLIDA variable metadata","Loss of income","blade-table-08-business-characteristics-survey-bcs","Loss of income","","2005-06;2007-08;2009-10;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itsbrlos_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Theft or loss of hardware","blade-table-08-business-characteristics-survey-bcs","Theft or loss of hardware","","2005-06;2007-08"
"blade","BLADE","abs-blade","itsbrnon_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","None of the above results","blade-table-08-business-characteristics-survey-bcs","None of the above results","","2005-06;2007-08;2009-10;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itsbrote_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Other - please specify (2009-10 onwards)","blade-table-08-business-characteristics-survey-bcs","Other - please specify (2009-10 onwards)","","2009-10;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itsbroth_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Other - please specify (2005-06 and 2007-08)","blade-table-08-business-characteristics-survey-bcs","Other - please specify (2005-06 and 2007-08)","","2005-06;2007-08"
"blade","BLADE","abs-blade","itsbrsta_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Loss of staff productivity","blade-table-08-business-characteristics-survey-bcs","Loss of staff productivity","","2005-06;2007-08;2009-10;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itsbrthe_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Theft of business, confidential or proprietary information","blade-table-08-business-characteristics-survey-bcs","Theft of business, confidential or proprietary information","","2005-06;2007-08;2009-10;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itsbrweb_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Web site defacement","blade-table-08-business-characteristics-survey-bcs","Web site defacement","","2005-06;2007-08;2009-10;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itscauth_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Authentication software or hardware","blade-table-08-business-characteristics-survey-bcs","Authentication software or hardware","","2005-06"
"blade","BLADE","abs-blade","itscback_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Off-site data backup and storage","blade-table-08-business-characteristics-survey-bcs","Off-site data backup and storage","","2005-06"
"blade","BLADE","abs-blade","itscfire_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Firewall","blade-table-08-business-characteristics-survey-bcs","Firewall","","2005-06"
"blade","BLADE","abs-blade","itscnone_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","None of the above measures","blade-table-08-business-characteristics-survey-bcs","None of the above measures","","2005-06"
"blade","BLADE","abs-blade","itscphys_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Physical security","blade-table-08-business-characteristics-survey-bcs","Physical security","0 = No 1 = Yes 88888888 = Missing due to sequencing 999999999 = Missing","2005-06"
"blade","BLADE","abs-blade","itscspam_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Spam filter","blade-table-08-business-characteristics-survey-bcs","Spam filter","","2005-06"
"blade","BLADE","abs-blade","itscviru_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Virus checking or protective software","blade-table-08-business-characteristics-survey-bcs","Virus checking or protective software","","2005-06"
"blade","BLADE","abs-blade","itsec_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Experienced any IT security incidents or breaches (Tick one box only)","blade-table-08-business-characteristics-survey-bcs","Experienced any IT security incidents or breaches (Tick one box only)","0 = No 1 = Don't know 2 = Yes 7777777 = Ticked more than one box 88888888 = Missing due to sequencing 999999999 = Missing . = Not asked","2005-06;2007-08;2009-10;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itsupcon_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Contractors or consultants","blade-table-08-business-characteristics-survey-bcs","Contractors or consultants","","2005-06;2009-10;2011-12;2013-14;2015-16;2017-18"
"blade","BLADE","abs-blade","itsupnon_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","No IT support","blade-table-08-business-characteristics-survey-bcs","No IT support","","2005-06;2009-10;2011-12;2013-14;2015-16;2017-18"
"blade","BLADE","abs-blade","itsupnos_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Persons working in the business - not IT specialists","blade-table-08-business-characteristics-survey-bcs","Persons working in the business - not IT specialists","","2005-06;2009-10;2011-12;2013-14;2015-16;2017-18"
"blade","BLADE","abs-blade","itsupoth_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Other","blade-table-08-business-characteristics-survey-bcs","Other","","2005-06;2009-10;2011-12;2013-14;2015-16;2017-18"
"blade","BLADE","abs-blade","itsuppna_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Not applicable","blade-table-08-business-characteristics-survey-bcs","Not applicable","","2009-10;2011-12;2013-14;2015-16;2017-18"
"blade","BLADE","abs-blade","itsupsof_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Supplier of software or hardware","blade-table-08-business-characteristics-survey-bcs","Supplier of software or hardware","","2005-06;2009-10;2011-12;2013-14;2015-16;2017-18"
"blade","BLADE","abs-blade","itsupspe_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Persons working in the business - IT specialists","blade-table-08-business-characteristics-survey-bcs","Persons working in the business - IT specialists","0 = No 1 = Yes 88888888 = Missing due to sequencing 999999999 = Missing . = Not asked","2005-06;2009-10;2011-12;2013-14;2015-16;2017-18"
"blade","BLADE","abs-blade","ituacc_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Accounting","blade-table-08-business-characteristics-survey-bcs","Accounting","0 = Not at all 1 = Low to moderate extent 2 = High extent 3 = Not applicable 7777777 = Ticked more than one box 88888888 = Missing due to s…","2005-06;2013-14;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","ituhuman_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Human resources, including payroll","blade-table-08-business-characteristics-survey-bcs","Human resources, including payroll","","2005-06;2013-14;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","ituinv_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Invoicing","blade-table-08-business-characteristics-survey-bcs","Invoicing","","2005-06;2013-14;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","itumark_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Marketing","blade-table-08-business-characteristics-survey-bcs","Marketing","","2005-06;2013-14;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","ituplan_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Business planning","blade-table-08-business-characteristics-survey-bcs","Business planning","",""
"blade","BLADE","abs-blade","ituprod_bcs","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Production/service operations","blade-table-08-business-characteristics-survey-bcs","Production/service operations","","2005-06;2013-14;2015-16;2017-18;2019-20"
"blade","BLADE","abs-blade","ituseacc_dam","integer",5871,5785,98.5352,4,"0.0 / 0.0 / 0.5 / 66666666.2 / 999999999.0","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Business processes using ICT (Tick all that apply)","blade-table-11-business-characteristics-survey-digital-activity-module-dam","Business processes using ICT (Tick all that apply)","0 = No","2021-22"
"blade","BLADE","abs-blade","itusehuman_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-11-business-characteristics-survey-digital-activity-module-dam","","","2021-22"
"blade","BLADE","abs-blade","ituseinv_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-11-business-characteristics-survey-digital-activity-module-dam","","999999999 = Missing","2021-22"
"blade","BLADE","abs-blade","itusemark_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-11-business-characteristics-survey-digital-activity-module-dam","","","2021-22"
"blade","BLADE","abs-blade","itusenone_dam","integer",5871,5785,98.5352,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-11-business-characteristics-survey-digital-activity-module-dam","","","2021-22"
