dataset,variable,occurrence_count,status,implemented_domain_or_derivation,evidence_source,caveat
"DOMINO","INDIG_CODE","1","populated","N for spine Indigenous status 1; Y for statuses 2, 3, and 4","PLIDA DIL concept; spine indigenous field; src/rust/src/domino.rs; R/generate_domino.R; R/dil_social_employment_values.R","The binary DOMINO field combines the three Indigenous spine categories."
"DOMINO","INST_TYPE","3","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: SCHOOL; TAFE; UNIVERSITY; RTO","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these institution codes."
"DOMINO","ISP_BEN_STATUS","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: CUR; SUS","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these benefit-status codes."
"DOMINO","ISP_TYPE_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local payment codes: JSP; DSP; AGE; PPP; PPS; YAL; AUS","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The codes resemble payment mnemonics. Their field-level equivalence is not publicly verified."
"DOMINO","LANG_CODE","2","populated","Four-digit ASCL language code sampled with codeframe weights","ABS ASCL; inst/extdata/codeframes/ascl_language.tsv","The codeframe is official. The sampled language is not linked to country of birth."
"DOMINO","LGA","1","populated","Official LGA code for the product period sampled within state","ABS ASGS; inst/extdata/codeframes/lga.tsv","The code is state-valid. It is not calculated from an address."
"DOMINO","LVL_ATTAINED","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local education codes 00 to 05 from spine education","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms this education crosswalk."
"DOMINO","LVL_ATTAINED_DESC","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Local label lookup for LVL_ATTAINED","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The labels are coherent with local codes but are not source-verified."
"DOMINO","MAN_CODE","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local binary domain: Y; N","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The DIL description does not define the code meaning or rate."
"DOMINO","MED_PRMY_GRP","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local 22-code medical-group domain","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms the medical-group abbreviations."
"DOMINO","MED_SCNDRY_GRP","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local 22-code medical-group domain","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms the medical-group abbreviations."
"DOMINO","NSPP_PRCPL_CARER_RSN_CODE","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: AGE; DIS; ILL; OTH","PLIDA DIL description; R/dil_social_employment_values.R only","The codes are locally inferred. Keep typed missing without a source value."
"DOMINO","OBJECT_TYPE_CODE","1","structural","Fixed PER person-object marker matching the exact DOMINO static_demogs projection","PLIDA DIL static_demogs structure; src/rust/src/domino.rs; R/generate_domino.R","The marker identifies the row object as a person. It is not a Services Australia identifier."
"DOMINO","POSTALTYPE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: RES; POS; TMP; TERM","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these address codes."
"DOMINO","REASON_CODE","4","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: INC; PEN; CAR; AUT; OTH","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The variable occurs in several tables. One local domain may not fit every table."
"DOMINO","REL_CODE","4","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Table-aware local relationship codes such as PTN; PAR; CHI; CAR; OTH","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The table logic is coherent. A public relationship codeframe was not found."
"DOMINO","REL_QUAL_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: BIO; STEP; FOS; OTH","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these relationship qualifiers."
"DOMINO","RENT_BEN_STATUS","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: CUR; SUS","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these benefit-status codes."
"DOMINO","RENT_TYPE_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local constant: RA","PLIDA DIL description; R/dil_social_employment_values.R only","The code is a local mnemonic. Keep typed missing without a source value."
"DOMINO","RFRL_RSN_CODE","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: MED; WCA; RVW; OTH","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these referral codes."
"DOMINO","ROW_TYPE","4","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: CUR; HIST","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these row-type codes."
"DOMINO","STDNT_PRTCPN_STS","3","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: FTS; PTS; NST","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these student-status codes."
"DOMINO","STDNT_STS_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: FTS; PTS; NST","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these student-status codes."
"DOMINO","SUP_BEN_STATUS","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: CUR; SUS","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these benefit-status codes."
"DOMINO","SUP_TYPE_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: PEN; FTB; CAR; ENERGY; OTH","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The codes are local mnemonics. Their field-level equivalence is not publicly verified."
"DOMINO","TASK_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: INC; REV; ASS; OTH","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these task codes."
"DOMINO","THP_ID","1","structural","Stable THP-prefixed synthetic professional identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a treating-professional identifier."
"DOMINO","TYPE_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: APP; TRN","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these apprenticeship codes."
"DOMINO","ZERO_PAY_RSN","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: INC; ASSET; RATE; SUS; OTH","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these zero-payment reason codes."
"SAE","ACNT_PHS_CD","9","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: A accumulation; R retirement; I insurance only","ATO super fund member reporting user guide; src/rust/src/sae.rs","The concepts are public. The compact PLIDA codes are not verified."
"SAE","AGE_RANGE","6","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local bins: Under 25; five-year groups; 70+","src/rust/src/sae.rs; PLIDA DIL description","No public SAE field codeframe confirms these exact bin boundaries."
"SAE","EXTRACT_REF","6","structural","Financial-year label from the product start and end year","PLIDA DIL; R/dil_tax_values.R; R/dil_social_employment_values.R","The format is internally consistent with other ATO synthetic extracts."
"SAE","LOST_MBR_REGR_MBR_STS_CD","9","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: N not lost; U uncontactable; I inactive","ATO super fund member reporting user guide; R/dil_social_employment_values.R","The concepts are public. The compact PLIDA codes are not verified."
"SAE","MBR_ACNT_STS_CD","7","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: A active; I inactive; L lost","src/rust/src/sae.rs; ATO super fund member reporting user guide","The local generator mixes member-account status with lost status. The released SAE codeframe is required."
"SAE","MBSHP_ACNT_GOVT_RLVR_ACPTDIND","9","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local binary domain: Y; N","ATO MAAS business implementation guide; R/dil_social_employment_values.R","The guide defines a Boolean concept. The Y/N PLIDA encoding is not verified."
"SAE","MBSHP_ACNT_OUTWD_RLVRACPTDIND","9","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local binary domain: Y; N","ATO MAAS business implementation guide; R/dil_social_employment_values.R","The guide defines a Boolean concept. The Y/N PLIDA encoding is not verified."
"SAE","MBSHPACNTINVTVINCMSTRMPRDCTIND","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Y only for some retirement-phase accounts; otherwise N","ATO MAAS business implementation guide; R/dil_social_employment_values.R","The phase relation is coherent. The Y/N PLIDA encoding and rate are not verified."
"SAE","PRVDR_TYP_CD","9","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current MCS-derived domain: P; N; S; X; D; E; A; C; R","R/dil_tax_values.R; ATO super fund member reporting user guide","The MCS codeframe has not been shown to be the SAE codeframe."
"SAE","SPNTN_MBRSHPACNTRLVRACPTDIND","9","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local binary domain: Y; N","ATO MAAS business implementation guide; R/dil_social_employment_values.R","The guide defines a Boolean concept. The Y/N PLIDA encoding is not verified."
"RPS","GEOCODED_INDEX","38","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local binary domain: 0; 1","PLIDA DIL description; R/dil_social_employment_values.R only","The field can be an index rather than a flag. The helper now omits the binary fallback."
"RPS","LGA_CODE_2023","16","populated","Official 2023 LGA code sampled within the spine state","ABS ASGS 2023; inst/extdata/codeframes/lga.tsv","The code is state-valid. It is not calculated from the rental-property address."
"RPS","LGA_CODE_2024","22","populated","Official 2024 LGA code sampled within the spine state","ABS ASGS 2024; inst/extdata/codeframes/lga.tsv","The code is state-valid. It is not calculated from the rental-property address."
"RPS","ROLE_CD","38","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current table-aware local domain: IND; PRT; TRT","PLIDA DIL description; R/dil_social_employment_values.R only","No ALife or public RPS codeframe supports these values. Keep typed missing without a source value."
"RPS","ROLE_CD_UPDATED","10","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current table-aware local domain: IND; PRT; TRT","PLIDA DIL description; R/dil_social_employment_values.R only","No ALife or public RPS codeframe supports these values. Keep typed missing without a source value."
